text,rankings,y_true,raw_results
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: cardio neurogenic syncope symptoms
Passage 1: joyfultinaNovember 9, 2013. We plan on remodeling our town home (floors, paint, window treatments) I have an idea of what I want but I'm not sure I'm making the right decisions. I got a quote from an interior designer who was referred to me. She's charging $75 per hour and estimates our project would be 10-15 hours.
Passage 2: Isomerism is the phenomenon whereby certain compounds, with the same molecular formula, exist in different forms owing to their different organisations of atoms. The concept of isomerism illustrates the fundamental importance of molecular structure and shape in organic chemistry.
Passage 3: Place your Bets on the 2016 Grand National at William Hill. On Saturday 9th April 2016 the eyes of the UK public will be turned towards Aintree Racecourse, Liverpool for The Crabbie’s Grand National.
Passage 4: Vasovagal Syncope. Vasovagal syncope (also called cardioneurogenic syncope) is a temporary loss of consciousness caused by a neurological reflex that produces either sudden dilation of the blood vessels in the legs, or a very slow heart rate (bradycardia), or both.
Passage 5: There are two types of stereo-isomerism: geometrical isomerism and optical isomerism. Geometrical isomers can have very different physical properties, such as different melting points, but they tend to have the same chemical properties.

## Ranking: 4, 2, 5, 1, 3","[4, 1, 2, 3, 5]","[4, 2, 5, 1, 3]","4,1,2,3,5"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: what causes non alcoholic fatty liver
Passage 1: What is a Read-Aloud? Jim Trelease, author of The Read-Aloud Handbook suggests a classic is a work of highest class and acknowledged excellence.. We like that definition. That's why we include so many award-winning books in our selection of Read-Aloud books for kids.
Passage 2: There are a few lesser known causes of NAFLD, or some medical conditions that could aggravate a fatty liver. 1  Sleep apnea. 2  Polycystic ovarian disease (PCOD) 3  Viral hepatitis. 4  Medical issues that flare up during pregnancy like autoimmune hepatitis. 5  Underactive thyroid.
Passage 3: It’s known as non-alcoholic fatty liver disease (NAFLD) and it’s the most common liver disease in the world now.1 It increases the risk of developing serious medical problems, including heart diseases and even liver failure. Most of us associate any liver problem with excessive consumption of alcohol.
Passage 4: Causes Of Non-Alcoholic Fatty Liver Disease. 1  1. Obesity Or Being Overweight. 2  2. Insulin Resistance And Diabetes. 3  3. High Levels Of Fat In The Blood. 4  4. Rapid Weight Loss. 5  5. High Fructose Consumption. 6  6. Metabolic Syndrome. 7  7. Certain Medications.
Passage 5: But a nasty court battle in Ontario has provided a rare glimpse of exactly how much cash the average Hortons store owner pockets in a year: $265,558.That’s 170,000 large cups of profit. Or, more fittingly, 332,000 frozen donuts.

## Ranking: 1, 3, 2, 4, 5","[4, 2, 3, 5, 1]","[1, 3, 2, 4, 5]","4, 2, 3, 5, 1"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: different types of vaginal bacterial infections
Passage 1: Vulvovaginitis refers to inflammation of both the vagina and vulva (the external female genitals). These conditions can result from a vaginal infection caused by organisms such as bacteria, yeast or viruses, as well as by irritation from chemicals in creams, sprays, or even clothing that is in contact with this area. In some cases, vaginitis results from organisms that are passed between sexual partners.
Passage 2: No. Singles, as well as couples, may become foster parents if they meet basic requirements for approval. Lutheran Family Services is proud of its training program, which varies in length from three to four weeks. Families also receive a comprehensive user-friendly handbook with information, parent tips and forms.
Passage 3: There are a number of ways to test for a vaginal infection: 1  You may be asked to provide a sample of urine. 2  A doctor or nurse may look inside your vagina, using a speculum (which is also used for smear tests) and take a swab (similar to a small round cotton bud). The swab picks up a sample of cells.
Passage 4: Although the development of organized labour provides a convenient focus for the discussion of working-class history, it is important to remember that most working people, past and present, have not belonged to unions: in 1996 only 33.9% of all nonagricultural paid workers in Canada belonged to unions.lthough the development of organized labour provides a convenient focus for the discussion of working-class history, it is important to remember that most working people, past and present, have not belonged to unions: in 1996 only 33.9% of all nonagricultural paid workers in Canada belonged to unions.
Passage 5: The six most common types of vaginitis are: 1  Candida or yeast infections. 2  Bacterial vaginosis. 3  Trichomoniasis vaginitis.  Chlamydia 1  vaginitis. Viral vaginitis.  Non-infectious vaginitis.

## Ranking: 2, 4, 1, 5, 3","[5, 1, 3, 2, 4]","[2, 4, 1, 5, 3]","5, 1, 3, 2, 4"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: what is a gestation crate
Passage 1: Gestation crates, used on modern pig-production facilities, commonly referred to as factory farms. A gestation crate, also known as a sow stall, is a metal enclosure used in intensive pig farming, in which a female breeding pig (sow) may be kept during pregnancy and for most of her adult life. The enclosures measure 6.6 ft x 2.0 ft (2 m x 60 cm).
Passage 2: Claim: A pact with the Devil to save a cancer-stricken child resulted in the creation of the Hello Kitty brand.
Passage 3: Spill Kits (Spill Response Supplies) Have spill kits (supplies) on hand in areas where hazardous materials are used. Preparation of a spill kit consolidates spill control materials and personal protective equipment in one location. Tailor each spill kit to meet the needs of each work area. PPE must be selected based on the hazardous materials used. Store kits in a location where individuals can quickly gain access to items needed in the event of a spill. Hazardous materials users should know where to locate the spill kit and how to use the spill response materials contained in the kit.
Passage 4: There is a wide range of chemicals present in the research laboratory. The safe clean up of a chemical spill requires some knowledge of the properties and hazards posed by the chemical, and any added dangers posed by the location of the spill.
Passage 5: and from what age do they start getting attracted to boys girls this is your question guys can also answer best answer 10ptsadd your answer source submit cancel i think that this question violates the community guidelinesi think that this question violates the terms of serviceut of course it wasn t serious at all then in the primary school girls start getting attracted to boys and have quite a few crushes later they start dating as well the masturbation theme is more complicated girls can try to do it any time but you have to be developed in all senses to do it right

## Ranking: 1, 5, 2, 3, 4","[1, 5, 4, 3, 2]","[1, 5, 2, 3, 4]","1,5,4,3,2"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: what is a specific learning disability
Passage 1: Specific Learning Disabilities (SLDs) is the largest and fastest growing disability category in public schools. The Individuals with Disabilities Education Act of 2004 (IDEA) defines SLDs: In other words, children with specific learning disabilities have trouble speaking, writing, spelling, reading and doing math. Types of SLDs Specific Learning Disabilities can include dyslexia, aphasia, perceptual disabilities and brain injury.
Passage 2: All of these are considered learning disabilities. Learning disabilities (LD) vary from person to person. One person with LD may not have the same kind of learning problems as another person with LD. Sara, in our example above, has trouble with reading and writing.
Passage 3: 100. 1  A general overview of the cost of living index for Manhattan Beach, CA is displayed above. In Manhattan Beach, CA, the overall cost of living index is 215, which is 59% higher than the California average and 115% higher than the U.S. average.
Passage 4: Specific learning disability does not include learning problems that are primarily the result of visual, hearing, or motor disabilities, of intellectual disability, of emotional disturbance, or of environmental, cultural, or economic disadvantage.
Passage 5: Indirectly, the Vikings have also left a window open to their language, culture and activities, through many Old Norse place names and words, found in their former sphere of influence.

## Ranking: 1, 2, 4, 3, 5","[1, 4, 2, 5, 3]","[1, 2, 4, 3, 5]","1, 4, 2, 5, 3"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: oprah ask gene simmons how long his tongue is
Passage 1: Honokaa is the home of the fourth Governor of Hawaii since statehood, John D. Waihee III, who served from December 2, 1986 to December 2, 1994. Waihee is the first Native Hawaiian to hold that office anywhere in the United States.
Passage 2: Blank Disc Media (Blu-Ray, LightScribe, DVD, CD) : Blank disc media are necessary in CD DVD Blu Ray duplicators, according to each other's duplication needs. Our Blank disc media includes blank Blu ray disc, blank DVD disc and blank CD disc media.
Passage 3: You need to find something to hold on to, something to motivate you, something to inspire you. o The symbolic frame interprets and illuminates the basic issues of meaning and beliefs that make symbols so powerful in our lives. o Symbols are used on a regular by people and they impact our lives on a daily basis.
Passage 4: Page from the Spring 2002 edition of Gene Simmons Tongue Magazine. Page from the Spring 2002 edition of Gene Simmons Tongue Magazine. In the current issue of Maxim, the gams-and-gadgets guys' magazine that has recently led a publishing devolution, the editors test the mettle of their loyal male readers.
Passage 5: Gene Simmons' tongue is about 6-7 inches long. His tongue is over seven inches long.

## Ranking: 4, 1, 5, 2, 3","[5, 4, 1, 3, 2]","[4, 1, 5, 2, 3]","5, 4, 1, 3, 2"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: lyrica for nerve pain
Passage 1: Fibromyalgia is a perplexing and often debilitating disorder, but treatment can help. Lyrica, a medicine used to treat patients with seizures, pain from shingles, and nerve pain from diabetesand spinal cord injuries, is offering new hope to those living with the pain of fibromyalgia.
Passage 2: What Does Your Body Do to Excess Vitamin B or C That You Might Consume? The Best Foods to Eat to Clean Out Your Colon; The Health Effects of Eating Raw Garlic Daily; Green Chili Health Benefits; What Do Garlic Cloves Do for Your Body?
Passage 3: Distribution: Avocados are grown in tropical and subtropical areas of the world. In Florida, commercial production is primarily in Miami-Dade and Collier Counties, however, small plantings and isolated trees are found in warm locations throughout the state.ost avocado varieties do not come true from seed (i.e., a seed will not render the same variety), so they must be propagated vegetatively. Cleft grafting is the preferred method of propagation in Florida, although veneer grafting is also used.
Passage 4: We recommend using ClamWin (free download), a highly effective and widely used malware removal program to clean your computer of TSC_GENCLEAN. In addition to TSC_GENCLEAN, this program can detect and remove the latest variants of other malware. ClamWin has an intuitive user interface that is easy to use. To get rid of TSC_GENCLEAN, the first step is to install it, scan your computer, and remove the threat. To remove TSC_GENCLEAN from your computer using ClamWin, you need to perform the following steps:
Passage 5: There is a difference between sour foods and spoiled foods. Sour foods can be fermented foods like sauerkraut or pickles. Buttermilk and yogurt are also sour foods. These types of foods are good for you and can have specific health benefits. Spoiled food is rotten food and can be full of dangerous bacteria and pathogens. Practice food safety when you cook, transport, and store food.

## Ranking: 1, 2, 5, 4, 3","[1, 5, 4, 3, 2]","[1, 2, 5, 4, 3]","1,5,4,3,2"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: spindle cell cancer survival rate
Passage 1: There are 50 different types of soft tissue sarcomas, which can develop in many different locations and tissues within the body. Because of this great variability among soft tissue sarcomas, recommended treatment options will vary, depending upon the stage, grade, type and location of the tumor.
Passage 2: But spindle cell breast cancer tumors with a more even split of spindle cell and ductal carcinoma elements have a higher rate of extranodal metastases, and a poorer prognosis. The rate of metastasis for spindle cell breast carcinoma shows no consistent statistical trend at this time.
Passage 3: In approximately one third of DMs, there is no identifiable in situ elanoma, and histopathologic recognition of the malignant dermal spindle cells may be challenging. DMs associated with an in situ melanoma in the epidermis and/or follicular epithelium are easier to recognize histopathologically.
Passage 4: Five-year and 10-year DM-specific survival have been reported to be 84.8 and 79.2 percent respectively, with five-year OS between 67 percent and 89 percent.2,20 Factors associated with an increased risk for DM-specific death include male gender, advancing age, and location on the head or neck.2.
Passage 5: If metastasis occurs, survival rates are less positive. A comparison of various case studies suggests that the mortality rate for spindle cell breast carcinoma ranges between 40% and 50%, and the average survival time after diagnosis is between 11 and 18 months.

## Ranking: 4, 2, 3, 5, 1","[5, 2, 4, 1, 3]","[4, 2, 3, 5, 1]","5, 2, 4, 1, 3"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: what does the nutrisystem turbo shake do
Passage 1: High blood pressure, or hypertension, is diagnosed when the pressure of blood through your arteries is higher than normal. Your doctor checks two types of pressure simultaneously--systolic and diastolic. A reading of 120 (systolic) over 80 (diastolic) is normal; 140 over 90 is considered high.
Passage 2: Deuterostomes are also known as enterocoelomates because their coelom develops through enterocoely. There are four extant phyla of deuterostomes: 1  Phylum Chordata (vertebrates and their kin). 2  Phylum Echinodermata (sea stars, sea urchins, sea cucumbers, etc.).3  Phylum Hemichordata (acorn worms and possibly graptolites).euterostomia is a subtaxon of the Bilateria branch of the subkingdom Eumetazoa, within Animalia, and are distinguished from protostomes by their embryonic development; in deuterostomes, the first opening (the blastopore) becomes the anus, while in protostomes it becomes the mouth.
Passage 3: Nutrisystem is a well-known brand in dieting, and has a line of protein shakes that are supposed to help with weight loss and management. Even though they have a strong brand and marketing history, the ingredients they offer may not be in line with the healthy image they are trying to promote. Controversial Ingredients.
Passage 4: Reported side effects: Head and muscle aches, stomach cramps and diarrhea, bladder issues, skin irritation, dizziness and inflammation, and weight gain. While Nutrisystem’s shake does have a good core component, whey protein, it also has a few ingredients that give us pause. Mainly the addition of sucralose which has been shown to be counter productive in weight loss. It’s for that reason that we cannot rank it any higher.
Passage 5: And we are to stay salty. Jesus warns that if our values become so much like the world that we no longer recognize and take a stand against injustice, impurity, and corruption, the world will trample us underfoot as irrelevant and useless.

## Ranking: 2, 4, 5, 3, 1","[3, 4, 1, 5, 2]","[2, 4, 5, 3, 1]","3, 4, 1, 5, 2"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: flu virus can it affect your teeth
Passage 1: Stockbyte/Stockbyte/Getty Images. Unlike a common cold, the flu is caused by an influenza virus that infects the airway tract in the nose and throat. Symptoms of the flu can include fever, weakness, coughing, headache, and aches–sometimes even in the teeth.1  Things That Make Toothaches Worse. 2  How to Alleviate Tooth Pain Caused by Sinuses.nlike a common cold, the flu is caused by an influenza virus that infects the airway tract in the nose and throat. Symptoms of the flu can include fever, weakness, coughing, headache, and aches–sometimes even in the teeth. 1  Things That Make Toothaches Worse. 2  How to Alleviate Tooth Pain Caused by Sinuses.
Passage 2: Total cost is graphed with output quantity on the horizontal axis and dollars of total cost on the vertical axis. The total cost curve is upward sloping (i.e. increasing in quantity). This simply reflects the fact that it costs more in total to produce more output. The total cost curve is generally bowed upwards.
Passage 3: Out of the ashes of the Greenback-Labor Party grew the Populist Party. In addition to demanding the free coinage of silver, the Populists called for a host of other reforms. They demanded a graduated income tax, whereby individuals earning a higher income paid a higher percentage in taxes.
Passage 4: Oral herpes. The most common symptom of oral herpes, caused by the herpes simplex virus, is cold sores. Oral herpes can also cause fever and muscle aches. Mouth sores most commonly occur in children aged 1-2 years, but they can affect people at any age and any time of the year.ral herpes causes. Herpes simplex is a DNA virus that causes sores in and around your mouth. Two herpes subtypes may cause these sores. 1  Herpes simplex virus type 1, or herpes-1, which causes around 80% of cases of oral herpes infections. 2  Herpes simplex virus type 2, or herpes-2, which causes the rest.
Passage 5: Bacteria and viruses usually cause oral infections. They can affect the teeth, gums, palate (PAL-it, the roof of the mouth), tongue, lips, and inside of the cheeks.Simple oral infections are limited to the mouth and are different from oral lesions * , which are non-infectious and may be a sign of an illness that involves other parts of the body.hey can affect the teeth, gums, palate (PAL-it, the roof of the mouth), tongue, lips, and inside of the cheeks. Simple oral infections are limited to the mouth and are different from oral lesions * , which are non-infectious and may be a sign of an illness that involves other parts of the body.

## Ranking: 1, 5, 4, 3, 2","[1, 5, 4, 3, 2]","[1, 5, 4, 3, 2]","1, 5, 4, 3, 2"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: causes for generalized seizures
Passage 1: A generalized tonic-clonic seizure, sometimes called a grand mal seizure, is a disturbance in the functioning of both sides of your brain. This disturbance is caused by electrical signals spreading through the brain inappropriately. Often this...
Passage 2: Numerous parking options are offered at the Nashville International Airport. The short-term parking lot allows travelers to walk from the lot to the terminal. The first 20 minutes are free, and rates thereafter are available at $3 for up to one hour. Long-term parking is available at rates from $10 to $13.
Passage 3: Mr Andrews was seen urging people to get into the lifeboats, aware of just how little time the liner, thought to be unsinkable by many passengers, had left. The 39-year-old designer was a nephew of Lord Pirrie, the principal owner of Harland and Wolff, the Belfast shipyard who built the Titanic.
Passage 4: Myoclonic seizures. Myoclonic seizures usually appear as sudden brief jerks or twitches of your arms and legs. Tonic-clonic seizures. Tonic-clonic seizures, previously known as grand mal seizures, are the most dramatic type of epileptic seizure and can cause an abrupt loss of consciousness, body stiffening and shaking, and sometimes loss of bladder control or biting your tongue. When to see a doctor
Passage 5: You may be at a higher risk for having generalized tonic-clonic seizures if you have a family history of epilepsy. A brain injury related to a head trauma, infection, or stroke also puts you at higher risk. Other factors that could increase your chances of having a grand mal seizure include: sleep deprivation

## Ranking: 1, 5, 4, 3, 2","[1, 5, 4, 3, 2]","[1, 5, 4, 3, 2]","1, 5, 4, 3, 2"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: can pseudo tumor show up as a tumor on the brain
Passage 1: If there is an underlying cause, the condition is termed secondary intracranial hypertension. Common causes of secondary intracranial hypertension include obstructive sleep apnea (a sleep-related breathing disorder), systemic lupus erythematosus (SLE), chronic kidney disease, and Behcet'behçet s. disease
Passage 2: But the absolute value on the right-hand side of the equation, | 3x + 2 | , has a positive argument, so I can just take the bars off. | x – 3 | = | 3x + 2 | – 1 – (x – 3) = 3x + 2 – 1 –x + 3 = 3x + 1 2 = 4x 1/2 = x. This tells me that the solution to the original equation, on the interval (–2/3, 3) , is x = 1/2.
Passage 3: Pseudotumor cerebri is a disorder related to high pressure in the brain that causes signs and symptoms of a brain tumor—hence the term “pseudo” or false tumor. Pseudotumor cerebri is also sometimes known as intracranial hypertension or benign intracranial hypertension.
Passage 4: Testosterone and Appetite. A few men on the Peak Testosterone Forum who have started HRT have reported increased appeitite and have wondered if the two are related. The answer, it turns out, is surprisingly involved. First of all, testosterone definitely affects the two most well-known appetite and hunger hormones, gherlin and leptin. Let's start with leptin.
Passage 5: The terms benign and pseudotumor derive from the fact that increased intracranial pressure may be associated with brain tumors. Those patients in whom no tumour was found were therefore diagnosed with pseudotumor cerebri (a disease mimicking a brain tumor).

## Ranking: 3, 5, 1, 4, 2","[3, 5, 1, 4, 2]","[3, 5, 1, 4, 2]","3, 5, 1, 4, 2"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: what causes hand joints pain
Passage 1: Exercise #1: Make a Fist. You can do this easy exercise anywhere, and any time your hand feels stiff. Start by holding your left hand up straight. Then, slowly bend your hand into a fist, placing your thumb on the outside of your hand. Be gentle—don’t squeeze your hand.
Passage 2: VANCE JOY FIRE AND THE FLOOD NORTH AMERICAN TOUR 2016 WITH GUESTS REUBEN AND THE DARK TUESDAY, JANUARY 19, 2016 BURTON CUMMINGS THEATRE – WINNIPEG, MB Doors: 7:00PM Show: 8:00PM After dodging the camera for the first [...].innipeg, MB: After a successful show at the 2015 BBQ and Blues Festival at the Burton Cummmings Theatre on Friday, August 21, Big Sugar will return to Winnipeg! Big Sugar is scheduled to play The Burt on Friday, November 20, 2015. Tickets go on-slae Friday, August 28, 2015 at 10:00 am through Ticketmaster.
Passage 3: The exact cause is not known. The symptoms can include pain, stiffness, clicking and a small lump in the palm at the base of the affected finger or thumb. If you think you may have trigger finger, make an appointment to see your GP, so they can examine your hand and offer advice about treatment.
Passage 4: Carpal tunnel syndrome. Carpal tunnel syndrome is a relatively common condition that causes pain, numbness and a tingling sensation in the hand and fingers. These sensations usually develop gradually and start off being worse during the night.
Passage 5: 6 Answers. , Learning everyday. Combustion needs oxygen to take place, if you provide an oxygen source by chemical or mechanical means, fire can burn underwater. A chemical reaction that gives up a lot of heat may stay burning for a little bit, but remember water has a high heat capacity and would cold the reaction quite fast.

## Ranking: 3, 5, 2, 1, 4","[4, 3, 1, 5, 2]","[3, 5, 2, 1, 4]","4,3,1,5,2"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: what ingredients are in bread
Passage 1: With only 4 ingredients (water, flour, yeast, salt) and no-kneading you can have fresh bread our of your own oven! If you are scared of using yeast, this bread will get your feet wet! I feel like I have been away for ages.
Passage 2: If you’ve ever made bread from scratch, you know that it’s made with simple ingredients: flour, water, yeast, and salt. Commercially-made bread, though, often includes a long list of ingredients (some of which are on Naturally Savvy's Scary Seven™ list of foods to avoid).
Passage 3: Google Street View camera mounted on a trike, on display at the Computer History Museum in Mountain View, California The cameras of this Google Street View car are mounted on the roof rack. The power and data cables are fed into the car through the right rear passenger window.
Passage 4: This is the easiest bread recipe. With only 4 ingredients (water, flour, yeast, salt) and no-kneading you can have fresh bread our of your own oven! If you are scared of using yeast, this bread will get your feet wet!
Passage 5: Importing an Excel List into Outlook Calendar. 1  1. Create a new blank spreadsheet in Excel. 2  2. Add the proper headers to your spreadsheet. 3  3. Enter each calendar entry into a new row.  4. Open the Save As 1  menu. 5. Select CSV (Comma delimited) from the file type menu.  6. Save the 1  file. 7. Open your Outlook calendar.

## Ranking: 3, 2, 5, 1, 4","[1, 2, 4, 3, 5]","[3, 2, 5, 1, 4]","1, 2, 4, 3, 5"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: what is a bald fade
Passage 1: A bald fade or a really short cut that fades to skin on the head sides is a relatively easy technique to get a neat look without crazy details or wacky designs. This is the cut guaranteed to work well for careers in the military services or jobs that require a more decent and sharper look.
Passage 2: For anyone who is having a 3-day transfer, here is the timeline for your embryo(s): 1  1dpt .. Embryo is growing and developing. 2  2dpt… Embryo is now a blastocyst. 3  3dpt….Blastocyst hatches out of shell.  4dpt.. Blastocyst attaches to a site on the uterine 1  lining. 5dpt..
Passage 3: What Is The Skin Fade/ Bald Fade Haircut? A Skin Fade is the style achieved by cutting the hair lower and lower as you move with the clipper towards the neck. Though most haircuts require the locks to be the same length all around the head, skin fade haircuts demand the hair to be cut at a decreasing length level.
Passage 4: Instead of the muscle tearing, a small piece of bone is pulled away from the pelvis. Depending on how much bone is involved, it may take approximately 6 weeks before you are ready to begin increasing your activity.This type of injury may also involve the use of crutches for 1-2 weeks as well.Other considerations that need to be addressed as well are the person’s age, health, and activity level. fracture completely through the bone and where the bone is not lined up correctly will take a lot longer to heal and most likely be at the far end of the recovery period. An injury seen in athletics could be an avulsion fracture, where a piece of the bone is “peeled” or partially torn away from the pelvis.
Passage 5: A fade haircut. Conversely, a fade will usually taper the hair starting at the top of the pate and ending just above or right at the ear and at the occidental bone with no line. The same cutting concept is applied but it can only be done with hair clippers in order to fade out hair smoothly.

## Ranking: 2, 4, 1, 5, 3","[1, 3, 5, 4, 2]","[2, 4, 1, 5, 3]","1, 3, 5, 4, 2"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: can not enough sleep make adhd
Passage 1: Contemporary Examples. 1  They underscore the extent to which our ideas of normality are tied closely to socioeconomic status. 2  Grouping them by geography and socioeconomic status (Real Housewives) is another. 3  And grouping them by geography, socioeconomic status, and ethno-national background (Shahs of Sunset) is yet another.
Passage 2: You know lack of sleep can make you grumpy and foggy. You may not know what it can do to your sex life, memory, health, looks, and even ability to lose weight. Here are 10 surprising -- and serious -- effects of sleep loss.
Passage 3: An increasing number of studies are showing that ADHD is linked with a variety of sleep problems: 1  Sleep deprivation, such as not getting enough total sleep each night for their age, can make ADHD symptoms worse. 2  Children with ADHD have been shown to have higher rates of daytime sleepiness than children without ADHD.
Passage 4: Most green tea sold in the United States contains less than 10 milligrams of L-theanine while the suggested dose to decrease symptoms is 50 to 200 milligrams. It can't hurt to sip a few cups on your way to more GABA; green tea has other health-promoting benefits.
Passage 5: Celebrate great health! LIKE BlackDoctor.org on Facebook! You may not realize this, but lack of sleep is much more dangerous than simply feeling more tired than usual. Increasingly, researchers tell us, it’s clear that not getting enough sleep can become a serious health hazard.

## Ranking: 1, 2, 4, 5, 3","[3, 2, 5, 4, 1]","[1, 2, 4, 5, 3]","3, 2, 5, 4, 1"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: recessive allele definition biology
Passage 1: Recessive allele: an allele that only has an effect on the phenotype when present in the homozygous state. Codominant alleles: pairs of alleles that both affect the phenotype when present in a heterozygote. Locus: the particular position on homologous chromosomes of a gene.Homozygous: having two identical alleles of a gene. Heterozygous: having two different alleles of a gene. Carrier: an individual that has one copy of a recessive allele that causes a genetic disease in individuals that are homozygous for this allele.ocus: the particular position on homologous chromosomes of a gene. Homozygous: having two identical alleles of a gene. Heterozygous: having two different alleles of a gene. Carrier: an individual that has one copy of a recessive allele that causes a genetic disease in individuals that are homozygous for this allele.
Passage 2: A recessive trait is the phenotype that is seen only when a homozygous recessive genotype for the trait of interest is present. This means that an individual must have two recessive alleles for the gene that determines this trait of interest.emember, individuals must have two alleles for a gene, so someone could be homozygous dominant (EE), homozygous recessive (ee), or heterozygous (Ee). In this example, the recessive trait is having attached earlobes and is only seen in someone with the genotype ee (homozygous recessive).
Passage 3: Geothermal energy: Hot water or steam extracted from geothermal reservoirs in the earth's crust. Water or steam extracted from geothermal reservoirs can be used for geothermal heat pumps, water heating, or electricity generation. Geothermal plant: A plant in which the prime mover is a steam turbine.
Passage 4: The nautilus's graceful shell has made it an attractive commodity for the commercial shell trade, and Nautilus pompilius is the most commonly sold species. Traders from Indonesia, Fiji, and the Philippines capture nautiluses using baited traps.his animal usually lives where the slopes of coral reefs descend into deep waters. During the day, it resides in dark cool waters at depths from 900 to 2,000 feet and ascends to shallower waters (300 to 500 feet deep) at night to feed.
Passage 5: Dominant allele: an allele that has the same effect on the phenotype whether it is present in the homozygous or heterozygous state.Recessive allele: an allele that only has an effect on the phenotype when present in the homozygous state.ominant allele: an allele that has the same effect on the phenotype whether it is present in the homozygous or heterozygous state.

## Ranking: 2, 5, 3, 4, 1","[1, 5, 2, 4, 3]","[2, 5, 3, 4, 1]","1, 5, 2, 4, 3"
"Given a query and five passages, rank the passages based on how relevant they are to the query. Output only the ranking of the passages in order of relevance, separated by commas.

Query: how to treat viral pneumonia
Passage 1: Serious viral pneumonia is more likely to happen in those with a weakened immune system, such as: Babies who are born too early. Children with heart and lung problems. People who have HIV/AIDS. People receiving chemotherapy for cancer, or other medicines that weaken the immune system.
Passage 2: It depends on a couple of factors…. Treatment for pneumonia depends on the type of pneumonia you have and how severe it is. Most people who have community-acquired pneumonia – the most common type of pneumonia – are treated at home. The goals of treatment are to cure the infection and prevent complications. General Treatment.
Passage 3: November 15, 2008 at 8:09 pm #9932. bigmeg33, yes, physical therapists with Doctorate degrees have every right to call themselves doctor. I have a Doctorate in physical therapy and I’m very proud of my accomplishment.
Passage 4: Influenza Pneumonia. Antiviral therapy is available for the treatment of influenza virus infection. The treatment of uncomplicated influenza is supportive in nature, consisting of rest and administration of antipyretics and analgesics. See Table 3 below.
Passage 5: You could go around your local businesses and ask for pallets. Small shops usually get some of their products on wooden pallets and throw them away instead of selling them. As it is too much work for businesses with only a small amount of pallets to sell them, it is much easier to throw them away or give them away.

## Ranking: 3, 1, 5, 2, 4","[4, 2, 1, 3, 5]","[3, 1, 5, 2, 4]","4, 2, 1, 3, 5"
